instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
902913,3527,364D130522-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
822017,3211,364D140422-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
162817,636,364D141021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5123073,20012,364D150721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
26113,102,364D160921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
395265,1544,364D161221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
582145,2274,364D170222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
711681,2780,364D170322-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5079041,19840,364D170621-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
302593,1182,364D181121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
917505,3584,364D190522-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5730305,22384,364D190821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
503809,1968,364D200122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
838145,3274,364D210422-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
202241,790,364D211021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5123841,20015,364D220721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
49665,194,364D230921-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
420609,1643,364D231221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
621569,2428,364D240222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
755713,2952,364D240322-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5115393,19982,364D240621-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
324865,1269,364D251121-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
940801,3675,364D260522-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5734913,22402,364D260821-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
518913,2027,364D270122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
848129,3313,364D280422-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
228097,891,364D281021-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5702145,22274,364D290721-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
792065,3094,364D300322-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
455425,1779,364D301221-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
269057,1051,396GS2022-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
3014913,11777,3IINFOTECH-BE,3I INFOTECH.,0.0,,0.0,0.05,1,EQ,NSE,NSE
121345,474,3MINDIA,3M INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
664321,2595,3PLAND,3P LAND HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
1438977,5621,3RDROCK-IT,,0.0,,0.0,0.05,5200,EQ,NSE,NSE
248321,970,415KL22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
903425,3529,426GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5614337,21931,439MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5616129,21938,445MH22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
242433,947,448GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5637377,22021,449RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5387521,21045,44HR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5431041,21215,452BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5659649,22108,452TN22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5700609,22268,454BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5615361,21935,454MH22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5701377,22271,454RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5657857,22101,454TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
273665,1069,45AS23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5617921,21945,463MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5666049,22133,463TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5541889,21648,468HR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5540097,21641,475HR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5617409,21943,476MH23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
741121,2895,477KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
741889,2898,477MP23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
72193,282,47KL22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
527873,2062,485KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5646849,22058,489RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5728257,22376,493BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
646913,2527,494MP23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5659137,22106,499TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5611009,21918,503KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5736705,22409,505KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5701121,22270,505RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2049,8,507PY23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2817,11,509CG23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4728065,18469,509GS2022-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5605889,21898,509KL23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5736449,22408,509TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
274177,1071,512BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
269825,1054,515GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
528129,2063,518KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5736193,22407,51BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4857857,18976,522GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
192513,752,524AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
193281,755,527BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
38913,152,528BR23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
309761,1210,532AS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
466177,1821,532AS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
309505,1209,532CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
435201,1700,532RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
248577,971,535CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
387329,1513,535RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
213761,835,538CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5643521,22045,538RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
779009,3043,539GJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5718785,22339,539RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
514817,2011,539RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
308993,1207,53BR25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
72449,283,53RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5716737,22331,540CG24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5717505,22334,541AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
434433,1697,541GA25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
681473,2662,542RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
779777,3046,543BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5308417,20736,544AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5606401,21900,544KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5661697,22116,544TN23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5191937,20281,545AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5637633,22022,545RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
515073,2012,546PY25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5659905,22109,546TN24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
648449,2533,547AS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5645057,22051,547RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5708801,22300,549RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
150273,587,54BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
696833,2722,54KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5746177,22446,552AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
649217,2536,552MP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5610753,21917,553KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5625345,21974,554MP21-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5632769,22003,562OR21-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
819713,3202,563GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5608193,21907,565KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5645313,22052,565RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
39681,155,568MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5542145,21649,56HR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
3073,12,56MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
106497,416,56RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
482817,1886,572BR26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5624065,21969,573MP21-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
72961,285,575AP24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5613569,21928,575KA25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
214017,836,575PY26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5646081,22055,575RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5658881,22105,575TN25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5661953,22117,576TN24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5706753,22292,577GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5606913,21902,577KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5634049,22008,578OR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4827393,18857,579GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
73729,288,579KL24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
16129,63,57BR24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5613313,21927,57KA26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
20481,80,57MH24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
495617,1936,582BR26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
466945,1824,582RJ27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5681409,22193,582TS24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
343297,1341,585GS2030-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
1759233,6872,587GS2022-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
435969,1703,588CG26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
780545,3049,588GJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5298433,20697,589AP25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5735425,22404,589RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5643777,22046,58RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5609217,21911,591KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
370945,1449,593CG26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5632257,22001,593OR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
682241,2665,593RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
108289,423,594CG25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
817665,3194,594RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5662977,22121,595TN25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
483073,1887,597CG27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1758977,6871,597GS2025-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5679105,22184,59TS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
113921,445,5PAISA,5PAISA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
1757697,6866,601GS2028-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5633025,22004,601OR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5649665,22069,603RJ25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
107009,418,604AS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5735169,22403,604KL25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
15873,62,605AS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5614081,21930,609KA28-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5623809,21968,609MP22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
544001,2125,609RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5613825,21929,612KA27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1758209,6868,613GS2028-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
900097,3516,613RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5644033,22047,616RJ24-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2827265,11044,617GS2021-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
1758721,6870,617GS2023-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
437505,1709,617KL27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5681665,22194,617TS25-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
782849,3058,618GJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
3648257,14251,618GS2024-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
543489,2123,619AS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4857089,18973,619GS2034-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
515329,2013,61CG27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5384449,21033,61KA21-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
931329,3638,61RJ26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
214273,837,61RJ27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5624321,21970,620MP23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
569345,2224,621AS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
243969,953,622GS2035-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
348417,1361,622KL27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5539841,21640,624HR26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5618433,21947,624MH28-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5679873,22187,624TS26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5605377,21896,625RJ22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5633793,22007,628OR22-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5411841,21140,629HP26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5701633,22272,62RJ27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5644545,22049,630RJ23-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5709313,22302,632KA28-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
